2026-08-30 17:45:51 | INFO | Prediction request received
2026-08-30 17:45:51 | INFO | Model attrition_pipeline loaded
2026-08-30 17:45:51 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 17:45:51 | INFO | Prediction request received
2026-08-30 17:45:51 | INFO | Model attrition_pipeline loaded
2026-08-30 17:45:51 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 17:45:52 | INFO | Prediction request received
2026-08-30 17:45:52 | INFO | Model attrition_pipeline loaded
2026-08-30 17:45:52 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 17:45:52 | INFO | Prediction request received
2026-08-30 17:45:52 | INFO | Model attrition_pipeline loaded
2026-08-30 17:45:52 | INFO | Prediction completed -- risk=HIGH prob=0.7450
2026-08-30 17:45:52 | INFO | Prediction request received
2026-08-30 17:45:52 | INFO | Model attrition_pipeline loaded
2026-08-30 17:45:53 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 17:45:53 | INFO | Prediction request received
2026-08-30 17:45:53 | INFO | Model attrition_pipeline loaded
2026-08-30 17:45:53 | INFO | Prediction completed -- risk=HIGH prob=0.9050
2026-08-30 17:48:01 | INFO | Prediction request received
2026-08-30 17:48:10 | INFO | Model attrition_pipeline loaded
2026-08-30 17:48:10 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 17:56:57 | INFO | Prediction request received
2026-08-30 17:56:57 | INFO | Model attrition_pipeline loaded
2026-08-30 17:56:57 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 17:56:59 | INFO | Prediction request received
2026-08-30 17:56:59 | INFO | Model attrition_pipeline loaded
2026-08-30 17:56:59 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 17:57:14 | INFO | Prediction request received
2026-08-30 17:57:14 | INFO | Model attrition_pipeline loaded
2026-08-30 17:57:14 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 17:57:48 | INFO | Prediction request received
2026-08-30 17:57:48 | INFO | Model attrition_pipeline loaded
2026-08-30 17:57:49 | INFO | Prediction completed -- risk=HIGH prob=0.7450
2026-08-30 17:57:49 | INFO | Prediction request received
2026-08-30 17:57:49 | INFO | Model attrition_pipeline loaded
2026-08-30 17:57:49 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 17:57:49 | INFO | Prediction request received
2026-08-30 17:57:49 | INFO | Model attrition_pipeline loaded
2026-08-30 17:57:49 | INFO | Prediction completed -- risk=HIGH prob=0.9050
2026-08-30 17:58:26 | INFO | Prediction request received
2026-08-30 17:58:36 | INFO | Model attrition_pipeline loaded
2026-08-30 17:58:37 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 17:59:01 | INFO | Prediction request received
2026-08-30 17:59:10 | INFO | Model attrition_pipeline loaded
2026-08-30 17:59:10 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 18:02:00 | INFO | Prediction request received
2026-08-30 18:02:00 | INFO | Model attrition_pipeline loaded
2026-08-30 18:02:00 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 18:02:00 | INFO | Prediction request received
2026-08-30 18:02:00 | INFO | Model attrition_pipeline loaded
2026-08-30 18:02:01 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 18:02:01 | INFO | Prediction request received
2026-08-30 18:02:01 | INFO | Model attrition_pipeline loaded
2026-08-30 18:02:01 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 18:02:01 | INFO | Prediction request received
2026-08-30 18:02:01 | INFO | Model attrition_pipeline loaded
2026-08-30 18:02:01 | INFO | Prediction completed -- risk=HIGH prob=0.7450
2026-08-30 18:02:02 | INFO | Prediction request received
2026-08-30 18:02:02 | INFO | Model attrition_pipeline loaded
2026-08-30 18:02:02 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 18:02:02 | INFO | Prediction request received
2026-08-30 18:02:02 | INFO | Model attrition_pipeline loaded
2026-08-30 18:02:02 | INFO | Prediction completed -- risk=HIGH prob=0.9050
2026-08-30 18:02:29 | INFO | Prediction request received
2026-08-30 18:02:37 | INFO | Model attrition_pipeline loaded
2026-08-30 18:02:37 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 18:04:35 | INFO | Startup: loading intelligence table and attrition model
2026-08-30 18:12:56 | INFO | Prediction request received
2026-08-30 18:12:56 | INFO | Model attrition_pipeline loaded
2026-08-30 18:12:57 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 18:12:57 | INFO | Prediction request received
2026-08-30 18:12:57 | INFO | Model attrition_pipeline loaded
2026-08-30 18:12:57 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 18:12:58 | INFO | Prediction request received
2026-08-30 18:12:58 | INFO | Model attrition_pipeline loaded
2026-08-30 18:12:58 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 18:12:58 | INFO | Prediction request received
2026-08-30 18:12:58 | INFO | Model attrition_pipeline loaded
2026-08-30 18:12:59 | INFO | Prediction completed -- risk=HIGH prob=0.7450
2026-08-30 18:12:59 | INFO | Prediction request received
2026-08-30 18:12:59 | INFO | Model attrition_pipeline loaded
2026-08-30 18:12:59 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 18:12:59 | INFO | Prediction request received
2026-08-30 18:12:59 | INFO | Model attrition_pipeline loaded
2026-08-30 18:12:59 | INFO | Prediction completed -- risk=HIGH prob=0.9050
2026-08-30 18:13:22 | INFO | Startup: loading intelligence table and attrition model
2026-08-30 18:13:34 | INFO | Prediction request received
2026-08-30 18:13:44 | INFO | Model attrition_pipeline loaded
2026-08-30 18:13:45 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 18:22:12 | INFO | Prediction request received
2026-08-30 18:22:12 | INFO | Model attrition_pipeline loaded
2026-08-30 18:22:12 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 18:22:12 | INFO | Prediction request received
2026-08-30 18:22:12 | INFO | Model attrition_pipeline loaded
2026-08-30 18:22:13 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 18:22:13 | INFO | Prediction request received
2026-08-30 18:22:13 | INFO | Model attrition_pipeline loaded
2026-08-30 18:22:13 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 18:22:14 | INFO | Prediction request received
2026-08-30 18:22:14 | INFO | Model attrition_pipeline loaded
2026-08-30 18:22:14 | INFO | Prediction completed -- risk=HIGH prob=0.7450
2026-08-30 18:22:14 | INFO | Prediction request received
2026-08-30 18:22:14 | INFO | Model attrition_pipeline loaded
2026-08-30 18:22:14 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 18:22:14 | INFO | Prediction request received
2026-08-30 18:22:14 | INFO | Model attrition_pipeline loaded
2026-08-30 18:22:15 | INFO | Prediction completed -- risk=HIGH prob=0.9050
2026-08-30 18:22:32 | INFO | Startup: loading intelligence table and attrition model
2026-08-30 18:22:54 | INFO | Prediction request received
2026-08-30 18:23:09 | INFO | Model attrition_pipeline loaded
2026-08-30 18:23:09 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 18:52:20 | INFO | Startup: loading intelligence table and attrition model
2026-08-30 18:53:20 | INFO | Startup: loading intelligence table and attrition model
2026-08-30 19:23:41 | INFO | Prediction request received
2026-08-30 19:23:41 | INFO | Model attrition_pipeline loaded
2026-08-30 19:23:43 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 19:23:43 | INFO | Prediction request received
2026-08-30 19:23:43 | INFO | Model attrition_pipeline loaded
2026-08-30 19:23:43 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 19:23:43 | INFO | Prediction request received
2026-08-30 19:23:43 | INFO | Model attrition_pipeline loaded
2026-08-30 19:23:44 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 19:23:44 | INFO | Prediction request received
2026-08-30 19:23:44 | INFO | Model attrition_pipeline loaded
2026-08-30 19:23:45 | INFO | Prediction completed -- risk=HIGH prob=0.7450
2026-08-30 19:23:45 | INFO | Prediction request received
2026-08-30 19:23:45 | INFO | Model attrition_pipeline loaded
2026-08-30 19:23:45 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 19:23:45 | INFO | Prediction request received
2026-08-30 19:23:45 | INFO | Model attrition_pipeline loaded
2026-08-30 19:23:46 | INFO | Prediction completed -- risk=HIGH prob=0.9050
2026-08-30 19:24:18 | INFO | Startup: loading intelligence table and attrition model
2026-08-30 19:24:33 | INFO | Prediction request received
2026-08-30 19:24:45 | INFO | Model attrition_pipeline loaded
2026-08-30 19:24:45 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 19:24:51 | INFO | Startup: loading intelligence table and attrition model
2026-08-30 19:25:20 | INFO | Startup: loading intelligence table and attrition model
2026-08-30 19:26:46 | INFO | Startup: loading intelligence table and attrition model
2026-08-30 19:27:13 | INFO | Startup: loading intelligence table and attrition model
2026-08-30 19:28:54 | INFO | Startup: loading intelligence table and attrition model
2026-08-30 19:31:03 | INFO | Prediction request received
2026-08-30 19:31:03 | INFO | Model attrition_pipeline loaded
2026-08-30 19:31:03 | INFO | Prediction completed -- risk=HIGH prob=0.9250
2026-08-30 19:31:03 | INFO | Prediction request received
